Id,Ingredients,Ingredients_tr
2594,cookie butter (such as Trader Joe's® Speculoos Cookie Butter®,kurabiye yağı (Trader Joe's® Speculoos Cookie Butter® gibi
2595,cookie dough,Kurabiye hamuru
2596,cookie dough ice cream,kurabiye hamuru dondurma
2597,cookie pop lollipop stick,kurabiye pop lolipop çubuğu
2598,cooking barley,arpa pişirmek
2599,cooking couscou,kuskus pişirme
2600,cooking farro,farro pişirme
2601,cooking grit,pişirme kumu
2602,cooking irish oatmeal,İrlanda yulaf ezmesi pişirme
2603,cooking long grain wild rice seasoning packet,uzun taneli yabani pirinç baharat paketinin pişirilmesi
2604,cooking oat,yulaf pişirme
2605,cooking oatmeal,yulaf ezmesi pişirme
2606,cooking oil,yemeklik yağ
2607,cooking oil deep frying,yemeklik yağda kızartma
2608,cooking pearl barley,inci arpa pişirme
2609,cooking pearl tapioca,inci tapyoka pişirme
2610,cooking polenta,polenta pişirme
2611,cooking rice,pirinç pişirmek
2612,cooking rolled irish oat,İrlanda yulaf ezmesi pişirme
2613,cooking rolled oat,yulaf ezmesi pişirme
2614,cooking sake,aşkına yemek pişirmek
2615,cooking spray,pişirme spreyi
2616,cooking spray flour,sprey un pişirme
2617,cooking sray,pişirme spreyi
2618,cooking starch used preserving,pişirmede kullanılan nişasta konserveleme
2619,cooking steel cut oat,çelik kesilmiş yulaf pişirme
2620,cooking stuffing mix,doldurma karışımı pişirme
2621,cooking tapioca,tapyoka pişirme
2622,cooking twine,pişirme ipi
2623,cooking wild rice chicken flavor mix,yabani pirinç tavuk aroması karışımının pişirilmesi
2624,cooky,kurabiye
2625,cool water,soğuk su
2626,cool whip whipped topping,serin kırbaç çırpılmış tepesi
2627,cooled chicken fish stock,tavuk balık suyu
2628,cooled coffee,soğutulmuş kahve
2629,cooled organic sprouted lentil,soğutulmuş organik filizlenmiş mercimek
2630,cooled quinoa,soğutulmuş kinoa
2631,cooled rice,soğutulmuş pirinç
2632,core peel,çekirdek kabuğu
2633,coriander,kişniş
2634,coriander parsley leave,kişniş maydanoz bırakın
2635,coriander powder,kişniş tozu
2636,coriander seed,kişniş tohumu
2637,corkscrew shaped pasta,tirbuşon şekilli makarna
2638,corn,Mısır
2639,corn bean mix,ons) paket mısır ve fasulye karışımı (PictSweet Farms®'ın Deluxe Baharatlı Mısır ve Fasulye gibi
2640,corn bean vegetable blend,mısır fasulyesi sebze karışımı
2641,corn beef,mısır sığır eti
2642,corn bit,mısır tanesi
2643,corn bread mix,mısır ekmeği karışımı
2644,corn bread muffin mix,mısır ekmeği muffin karışımı
2645,corn bread stuffing mix,mısır ekmeği doldurma karışımı
2646,corn breadmuffin mix,mısır ekmeği karışımı
2647,corn cereal,mısır gevreği
2648,corn cereal puffs (e.g. Kix,mısır gevreği pufları (örn. Kix
2649,corn chex,mısır chex
2650,corn chip,mısır cipsi
2651,corn chip tomato,mısır cipsi domates
2652,corn chipotle pepper,mısır chipotle biber
2653,corn cob,mısır koçanı
2654,corn ear,mısır kulağı
2655,corn flake,mısır gevreği
2656,corn flake cereal,mısır gevreği
2657,corn flake cereal crumb,mısır gevreği tahıl kırıntısı
2658,corn flake crumb,mısır gevreği kırıntısı
2659,corn flour,mısır unu
2660,corn flour tortilla,mısır unu tortilla
2661,corn husk,mısır kabuğu
2662,corn husked,mısır kabuğu
2663,corn in husk,kabuğundaki mısır
2664,corn in the husk,kabuğundaki mısır
2665,corn kernel,mısır tanesi
2666,corn masa dough,mısır masa hamuru
2667,corn masa flour,mısır masa unu
2668,corn meal,mısır unu
2669,corn muffin mix,mısırlı muffin karışımı
2670,corn niblet,mısır tanesi
2671,corn nut,mısır cevizi
2672,corn oil,mısır yağı
2673,corn oil frying,mısır yağı kızartma
2674,corn on the cob,koçandaki mısır
2675,corn pepper,mısır biberi
2676,corn puff,mısır pufu
2677,corn starch,mısır nişastası
2678,corn syrup,mısır şurubu
2679,corn syrup honey,mısır şurubu bal
2680,corn taco shell,mısır taco kabuğu
2681,corn tortilla,mısır tortillası
2682,corn tortilla chip,mısır tortilla cipsi
2683,corn tortillas,mısır ekmeği
2684,corn truffle,mısır trüfü
2685,cornbread,mısır ekmeği
2686,cornbread crumb,mısır ekmeği kırıntısı
2687,cornbread mix,mısır ekmeği karışımı
2688,cornbread stuffing,mısır ekmeği dolması
2689,cornbread stuffing mix,mısır ekmeği doldurma karışımı
2690,corned beef,konserve sığır eti
2691,corned beef brisket,konserve dana eti
2692,corned beef hash,konserve sığır eti karma
2693,corned beef roast,konserve sığır eti kızartması
2694,cornflake,mısır gevreği
2695,cornflake cereal,mısır gevreği
2696,cornflake cereal crumb,mısır gevreği tahıl kırıntısı
2697,cornflake crumb,mısır gevreği kırıntısı
2698,cornhusk,mısır kabuğu
2699,cornichon,kornişon
2700,cornichon pickle,kornişon turşusu
2701,cornish game hen,cornish oyun tavuğu
2702,cornish hen,mısır tavuğu
2703,cornmeal,mısır unu
2704,cornmeal dusting,mısır unu tozu
2705,cornstarch,mısır nişastası
2706,cornstarch cornstarch,mısır nişastası mısır nişastası
2707,cornstarch dissolved in,mısır nişastası çözünmüş
2708,cornstarch tapioca starch,mısır nişastası tapyoka nişastası
2709,corona bean,korona fasulyesi
2710,cotechino,cotechino
2711,cotechino sausage,cotechino sosisi
2712,cotija cheese,cotija peyniri
2713,cotija feta cheese,cotija beyaz peynir
2714,cottage cheese,süzme peynir
2715,cotton grape,pamuk üzüm
2716,count biscuit dough,bisküvi hamurunu say
2717,country bread,köy ekmeği
2718,country crockreg spread,ülke crockreg yayılımı
2719,country dijon mustard,ülke dijon hardalı
2720,country french bread,ülke fransız ekmeği
2721,country gravy mix,ülke sos karışımı
2722,country hash potato,ülke karma patates
2723,country sausage,köy sosisi
2724,country spread,ülke yayılması
2725,country style gravy,ülke tarzı sos
2726,country style link sausage,ülke tarzı bağlantı sosisi
2727,country style rib,ülke tarzı kaburga
2728,couscou,kuskus
2729,covered graham cracker cooky,kapalı graham kraker kurabiyesi
2730,covered mint,nane kaplı
2731,covered peanut butter,fıstık ezmesi kaplı
2732,cr me fra che,bana sor
2733,crab,yengeç
2734,crab boil,yengeç kaynatma
2735,crab claw,yengeç pençesi
2736,crab meat,yengeç eti
2737,crab shrimp seasoning mix,yengeç karides baharat karışımı
2738,crab stick,yengeç çubuğu
2739,crabmeat,yengeç eti
2740,crabmeat cartilage removed,yengeç eti kıkırdağı çıkarıldı
2741,"crabmeat, and flaked","ons) yengeç eti konservesi, süzülmüş ve pul pul dökülmüş"
2742,"crabmeat, flaked","yengeç eti, kuşbaşı"
2743,cracked allspice berry,kırık yenibahar meyvesi
2744,cracked coriander seed,kırık kişniş tohumu
2745,cracked himalayan salt to,kırılmış himalaya tuzu
2746,cracked pepper,kırık biber
2747,cracked pepper to,kırık biber
2748,cracked peppercorn,kırık karabiber
2749,cracked rainbow peppercorn,kırık gökkuşağı biberi
2750,cracked rye berry,kırık çavdar meyvesi
2751,cracked salt pepper to,kırık tuz biber
2752,cracked wheat,kırık buğday
2753,cracker,kraker
2754,cracker barrel double cheddar cheese,kraker fıçı çift kaşar peyniri
2755,cracker barrel mozzarella cheese,kraker varil mozzarella peyniri
2756,cracker barrel parmesan cheese,kraker varil parmesan peyniri
2757,cracker barrel tex mex cheese,kraker fıçı tex mex peyniri
2758,cracker crumb,kraker kırıntısı
2759,cracker crust,kraker kabuğu
2760,cracker pie crust,kraker pasta kabuğu
2761,cracker rectangle,kraker dikdörtgen
2762,cracker square,kraker karesi
2763,cracker tortilla chip,kraker tortilla cipsi
2764,craft stick,zanaat sopa
2765,craisin,kızılcık
2766,cranberry,kızılcık
2767,cranberry bean,kızılcık fasulyesi
2768,cranberry grape juice,kızılcık üzüm suyu
2769,cranberry jelly,kızılcık jölesi
2770,cranberry juice,kızılcık suyu
2771,cranberry juice cocktail,kızılcık suyu kokteyli
2772,cranberry juice concentrate,kızılcık suyu konsantresi
2773,cranberry muffin mix,kızılcık muffin karışımı
2774,cranberry pomegranate juice,kızılcık nar suyu
2775,cranberry raisin,kızılcık kuru üzüm
2776,cranberry raspberry juice,kızılcık ahududu suyu
2777,cranberry sauce,kızılcık sosu
2778,cranberry vinaigrette,kızılcık sosu
2779,cranberry vinegar,kızılcık sirkesi
2780,crappie fillet,berbat fileto
2781,crawfish,kerevides
2782,crawfish tail,kerevit kuyruğu
2783,crawfish tail meat,kerevit kuyruk eti
2784,"crawfish tails, with fat","kilo kerevit kuyruğu, yağlı"
2785,cream,krem
2786,cream asparagu soup,kremalı kuşkonmaz çorbası
2787,cream at,krema
2788,cream broccoli soup,kremalı brokoli çorbası
2789,cream butter,kremalı tereyağı
2790,cream celery soup,kremalı kereviz çorbası
2791,cream cheese,krem peynir
2792,cream cheese at,krem peynir
2793,cream cheese chive,krem peynirli frenk soğanı
2794,cream cheese flavored frosting,krem peynir aromalı buzlanma
2795,cream cheese flavoring,krem peynir aroması
2796,cream cheese frosting,krem peynirli buzlanma
2797,cream cheese herb,krem peynir otu
2798,cream cheese honey nut,krem peynir bal fındık
2799,cream cheese with chives,ons) paket frenk soğanlı krem ​​peynir
2800,"cream cheese,","ons) paket krem ​​peynir, yumuşatılmış"
2801,"cream cheese, room temperature","ons) paket krem ​​peynir, oda sıcaklığında"
2802,cream chicken soup,kremalı tavuk çorbası
2803,cream chicken soup mix,kremalı tavuk çorbası karışımı
2804,cream coconut,kremalı hindistan cevizi
2805,cream corn,kremalı mısır
2806,cream creme fraiche,krem şanti
2807,cream filled chocolate sandwich cooky,krema dolgulu çikolatalı sandviç kurabiyesi
2808,cream filled sandwich cooky,krema dolgulu sandviç kurabiyesi
2809,cream frosting,krem buzlanma
2810,cream milk,kremalı süt
2811,cream mushroom soup,kremalı mantar çorbası
2812,cream mushroom soup garlic,kremalı mantar çorbası sarımsak
2813,cream of chicken soup,oz.) kutu kremalı tavuk çorbası
2814,cream onion dip,kremalı soğan sosu
2815,cream onion flavored potato chip,kremalı soğan aromalı patates cipsi
2816,cream onion soup,kremalı soğan çorbası
2817,cream parsley,kremalı maydanoz
2818,cream potato soup,kremalı patates çorbası
2819,cream sandwiche,kremalı sandviç
2820,cream seasoning mix,krema baharat karışımı
2821,cream soda,kremalı soda
2822,cream style corn,kremalı mısır
2823,cream style horseradish sauce,krem tarzı yaban turpu sosu
2824,cream substitute,krema yerine
2825,cream tartar,krem tartar
2826,cream topping,krema tepesi
2827,cream wheat,kremalı buğday
2828,cream wheat cereal,kremalı buğday gevreği
2829,cream yogurt,kremalı yoğurt
2830,cream-filled sponge snack cakes (such as Twinkies,krema dolgulu pandispanya keki (Twinkies gibi
2831,creamed,kremalı
2832,creamed corn,kremalı mısır
2833,creamed cottage cheese,kremalı süzme peynir
2834,creamed horseradish,kremalı yaban turpu
2835,creamed spinach,kremalı ıspanak
2836,creamer potato,kremalı patates
2837,creamy,kremsi
2838,creamy almond butter,kremalı badem ezmesi
2839,creamy avocado poblano dressing,kremalı avokado poblano sosu
2840,creamy basil ricotta pesto,kremalı fesleğenli ricotta pesto
2841,creamy caesar salad dressing,ons) şişe kremalı Sezar salatası sosu veya tadı
2842,creamy chicken-flavored rice mix (such as Knorr® Rice Sides,ons) paket kremalı tavuk aromalı pirinç karışımı (Knorr® Pirinç Tarafları gibi
2843,creamy chunky natural peanut butter,kremsi tıknaz doğal fıstık ezmesi
2844,creamy chunky peanut butter,kremalı tıknaz fıstık ezmesi
2845,creamy cilantro salad dressing,kremalı kişniş salatası sosu
2846,creamy coconut milk,kremalı hindistan cevizi sütü
2847,creamy cucumber salad dressing,kremalı salatalık salatası sosu
2848,creamy dill dip,kremalı dereotu sosu
2849,creamy goat cheese,kremalı keçi peyniri
2850,creamy gorgonzola cheese,kremalı gorgonzola peyniri
2851,creamy horseradish,kremalı yaban turpu
2852,creamy italian salad dressing,kremalı italyan salata sosu
2853,creamy italian style salad dressing,kremalı italyan usulü salata sosu
2854,creamy macaroni cheese,kremalı makarna peyniri
2855,creamy natural peanut butter,kremsi doğal fıstık ezmesi
2856,creamy peanut butter,kremalı fıstık ezmesi
2857,creamy pesto sauce mix,kremalı pesto sos karışımı
2858,creamy poppy seed salad dressing,kremalı haşhaş tohumu salatası sosu
2859,creamy potato garlic soup,kremalı patates sarımsak çorbası
2860,creamy salad dressing,kremalı salata sosu
2861,creamy salad dressing (such as Miracle Whip,kremalı salata sosu (Miracle Whip gibi
2862,"creamy salad dressing, e.g. Miracle Whip","kremalı salata sosu, ör.Mucize Kırbaç"
2863,creamy style horseradish sauce,kremalı yaban turpu sosu
2864,creamy tomato soup,kremalı domates çorbası
2865,creamy vanilla ready to spread frosting,kremalı vanilya kremayı yaymaya hazır
2866,creamy wheat cereal,kremalı buğday gevreği
2867,creamy whipped cottage cheese,kremalı çırpılmış süzme peynir
2868,crema con sal,crema con sal
2869,crema fresca,kremalı fresk
2870,crema mexicana,kremalı meksika
2871,creme de cacao,kremalı kakao
2872,creme de menthe,creme de menthe
2873,creme de menthe baking chip,creme de menthe pişirme çipi
2874,creme de menthe candy,kremalı şeker
2875,creme de menthe candy flavoring,creme de menthe şeker aroması
2876,creme de menthe chocolate mint,creme de menthe çikolata nane
2877,creme filled chocolate sandwich cookie,krema dolgulu çikolatalı sandviç kurabiye
2878,creme fraiche,kremalı fraiche
2879,creme fraiche heavy cream,creme fraiche ağır krema
2880,cremini mushroom,cremini mantarı
2881,creole mustard,Kreol hardalı
2882,Creole mustard,Creole hardalı
2883,creole seasoning,kreol baharatı
2884,Creole seasoning (such as Tony Chachere's®,kreol baharatı
2885,creole seasoning to,creole baharatı
2886,creole spicy mustard,creole baharatlı hardal
2887,creole style seasoning,creole tarzı baharat
2888,crepe,krep
2889,crescent dinner roll,Hilal akşam yemeği rulosu
2890,crescent dough roll,hilal şeklinde hamur rulosu
2891,crescent dough sheet,hilal şeklinde hamur yaprağı
2892,crescent roll,Hilal rulo
2893,crescent roll dough,Hilal rulo hamuru
2894,crescenza stracchino cheese,crescenza stracchino peyniri
2895,cricket flour,kriket unu
2896,crimini mushroom,krimini mantarı
2897,crinkle cut french fry,kırışık kesilmiş patates kızartması
2898,crisp,gevrek
2899,crisp rice cereal,gevrek pirinç gevreği
2900,crisp rice cereal square,gevrek pirinç gevreği kare
2901,crisp taco shell,gevrek taco kabuğu
2902,crispbread,gevrek ekmek
2903,crisped rice chocolate bar,çıtır pirinçli çikolata barı
2904,crispy chocolate chip cooky,çıtır çikolatalı kurabiye
2905,crispy chow mein noodle,çıtır chow mein şehriye
2906,crispy corn cereal square,çıtır mısır gevreği kare
2907,crispy corn cereal squares (such as Corn Chex,çıtır mısır gevreği kareleri (Corn Chex gibi
2908,crispy corn rice cereal,çıtır mısır pirinç gevreği
2909,crispy corn rice square cereal,çıtır mısır pirinç kare mısır gevreği
2910,crispy fried onion,çıtır kızarmış soğan
2911,crispy fried rice noodle,çıtır kızarmış pirinç eriştesi
2912,crispy fried shallot,ons) çıtır çıtır kızarmış arpacık konservesi veya tadı
2913,crispy onion strip,çıtır soğan şeridi
2914,crispy rice cereal,çıtır pirinç gevreği
2915,crispy rice cereal square,çıtır pirinç gevreği kare
2916,crispy rice cereal squares (such as Rice Chex,çıtır pirinç gevreği kareleri (Rice Chex gibi
2917,crispy seasoned potato puff,çıtır baharatlı patates pufu
2918,crispy tortilla strip,çıtır tortilla şeridi
2919,crispy tostada shell,çıtır tostada kabuğu
2920,crispy wheat cereal square,çıtır buğday gevreği kare
2921,crispy wheat cereal squares (such as Wheat Chex,çıtır buğday gevreği kareleri (Wheat Chex gibi
2922,croissant,kruvasan
2923,crookneck squash,eğri kabak
2924,crosse caper,çapraz kapari
2925,crosse major grey chutney,crosse majör gri Hint turşusu
2926,crouton,kruton
